seqName	clade
BF.27	22B
BF.26	22B
BF.29	22B
BF.31	22B
BF.28	22B
BF.21	22B
BF.30	22B
BF.32	22B
BF.34	22B
BF.40	22B
BF.39	22B
BF.39.1	22B
BF.38	22B
BF.36	22B
BG.3	22C
BG.1	22C
BF.41.1	22B
BG.2	22C
BG.5	22C
BG.4	22C
BG.6	22C
BK.1	22B
BL.1.2	22D
BG.7	22C
BH.1	21L
BF.35	22B
BL.1.1	22D
BL.1	22D
BF.41	22B
BL.1.5	22D
BL.1.4	22D
BL.1.3	22D
BJ.1	21L
BL.2	22D
BL.5	22D
BL.3	22D
BL.4	22D
BL.2.1	22D
BM.1	22D
BL.6	22D
BM.1.1	22D
BM.1.1.1	22D
BM.2	22D
BM.1.1.3	22D
BM.2.1	22D
BM.1.1.4	22D
BM.1.1.5	22D
BN.1.1	22D
BM.3	22D
BM.4	22D
BM.4.1	22D
BM.4.1.1	22D
BN.1	22D
BM.1.1.2	22D
BN.1.1.1	22D
BN.1.2	22D
BN.1.2.1	22D
BN.1.2.2	22D
BM.5	22D
BN.1.2.3	22D
BN.1.2.4	22D
BN.1.2.5	22D
BN.1.2.6	22D
BN.1.2.7	22D
BN.1.2.8	22D
BN.1.3	22D
BN.1.3.2	22D
BN.1.3.1	22D
BN.1.3.3	22D
BN.1.3.4	22D
BN.1.3.6	22D
BN.1.3.5	22D
BN.1.3.10	22D
BN.1.3.7	22D
BN.1.3.9	22D
BN.1.3.11	22D
BN.1.3.8	22D
BN.1.4	22D
BN.1.4.1	22D
BN.1.4.2	22D
BN.1.4.3	22D
BN.1.4.4	22D
BN.1.4.5	22D
BN.1.3.12	22D
BN.1.5.1	22D
BN.1.5	22D
BN.1.5.2	22D
BN.1.8	22D
BN.1.7	22D
BN.1.6	22D
BN.1.10	22D
BN.1.9	22D
BN.2.1	22D
BN.2	22D
BN.3	22D
BN.1.11	22D
BN.4	22D
BN.6	22D
BQ.1	22E
BN.5	22D
BQ.1.1	22E
BQ.1.1.1	22E
BQ.1.1.2	22E
BQ.1.1.4	22E
BQ.1.1.3	22E
BN.3.1	22D
BQ.1.1.14	22E
BQ.1.1.7	22E
BQ.1.1.8	22E
BQ.1.1.6	22E
BQ.1.1.5	22E
BQ.1.1.10	22E
BQ.1.1.9	22E
BQ.1.1.11	22E
BQ.1.1.15	22E
BQ.1.1.12	22E
BQ.1.1.18	22E
BQ.1.1.19	22E
