count,date,nextcladePangoLineage,nextstrainClade
2,2024-07-08,KQ.1,24A
3,2024-07-29,JN.1.18.6,24A
1,2024-04-23,JN.1.18.4,24A
1,2024-02-07,JN.1.9.2,24A
3,2024-12-31,MC.35,24E
2,2024-02-06,JN.1.21,24A
1,2024-08-01,MC.9.1,24E
3,2024-02-06,BA.2.86.1,23I
5,2024-02-08,JN.1.22,24A
1,2024-05-08,LB.1.3.2,24A
2,2024-12-25,LF.7.1.5,24H
1,2024-08-20,NL.5,24A
3,2024-12-29,MC.11,24E
1,2024-10-21,LB.1.2.1,24A
8,2024-02-08,JN.1.7.2,24A
11,2024-02-08,JN.1.2,24A
1,2024-02-07,JN.1.52,24A
4,2024-10-13,MC.1,24E
1,2024-09-18,NN.1.1,24G
1,2024-07-28,MB.1.1.1,24A
1,2024-07-13,LB.1.2.3,24A
10,2024-01-17,JG.3.2,23F
1,2024-06-14,LD.2,24A
2,2025-03-17,LP.8.1.4,25A
1,2024-02-15,LK.1,24A
5,2024-04-10,KP.3.1,24C
16,2024-02-10,KV.2,24A
1,2024-01-20,JN.1.6,24A
1,2024-02-09,JN.1.28.1,24A
1,2024-01-08,KZ.1,24A
3,2024-09-23,KP.2.15.1,24B
1,2024-12-21,LP.8.1.6,25A
2,2024-05-20,KR.1.1,24A
1,2024-04-26,KW.1.1,24A
2,2024-06-20,LY.1,24A
1,2024-05-28,KV.2,24A
1,2024-07-12,KS.1.3,24A
4,2024-05-19,JN.1.4,24A
1,2024-01-14,FY.5.5.1,22F
1,2024-05-27,KP.1.1.5,24B
1,2024-03-31,JN.1.4.6,24A
7,2024-06-04,JN.1.16.1,24A
1,2025-03-29,LP.8.1.1,25A
30,2024-03-01,JN.1.8.1,24A
1,2024-11-06,KP.2.3.6,24G
1,2024-08-21,LB.1.4.3,24A
3,2025-01-31,MC.10.1.5,24E
3,2024-03-03,KW.1,24A
1,2024-01-21,JN.1.42.1,24A
1,2024-02-12,JN.1.39.3,24A
1,2024-05-21,JN.1.50,24A
1,2024-11-20,XEC.11.1,24F
1,2024-07-28,MC.9.1,24E
2,2024-01-15,KT.1,23E
7,2024-06-10,KS.1.3,24A
1,2024-01-27,JN.1.6.1,24A
3,2024-02-18,JN.1.27,24A
1,2024-03-28,KP.1.1.1,24B
3,2024-06-04,LZ.1.1,24A
7,2024-03-17,KQ.1,24A
2,2024-10-29,KP.3,24C
4,2024-08-15,LB.1.8,24A
2,2024-05-14,JN.1.18.3,24A
2,2024-09-20,LW.1,24C
1,2024-02-13,JN.1.52,24A
1,2024-04-10,JN.1.46,24A
4,2024-04-05,KV.2,24A
2,2024-09-19,NL.4,24A
2,2024-12-23,NL.4,24A
1,2024-07-29,JN.1.7.4,24A
1,2024-05-25,KP.2.25,24B
1,2024-10-28,MC.10.1.7,24E
27,2024-06-28,KP.3.1.1,24E
1,2024-07-04,LA.1,24A
9,2024-01-21,JN.1.4.2,24A
18,2024-02-15,JN.1.39,24A
17,2024-03-13,JN.1.7,24A
13,2024-10-06,XEC,24F
1,2024-04-14,JN.1.32,24A
2,2024-06-12,LQ.1.1,24A
1,2024-09-25,MG.4,24B
3,2024-04-18,JN.1.4.8,24A
1,2024-04-19,KP.4.1.1,24B
1,2024-05-04,JN.1.67.1,24A
9,2024-07-07,JN.1.16.1,24A
2,2024-10-04,MC.24.2,24E
2,2025-01-21,MC.21.1,24E
1,2024-03-25,LZ.5,24A
2,2024-02-03,JN.1.38,24A
1,2024-05-28,XDK.1,recombinant
1,2024-07-12,KP.2.14,24B
1,2025-02-11,LP.8.1.7,25A
2,2025-02-14,MC.8.1,24E
2,2024-05-19,JN.1.16.1,24A
3,2024-05-23,KP.3,24C
3,2025-03-05,KP.3.1.1,24E
14,2024-04-16,JN.1.4,24A
1,2024-01-20,HK.3.9,23H
2,2024-10-09,KP.4.1.3,24B
6,2024-03-18,KV.2,24A
2,2024-06-14,LA.1,24A
3,2024-01-31,JN.18,23I
2,2024-01-14,JN.1.52,24A
1,2024-02-04,JN.1.30,24A
6,2024-04-25,JN.1.7.2,24A
7,2024-01-12,JN.1.38.1,24A
1,2024-01-30,JG.3.1,23F
35,2024-05-30,KP.2.2,24B
4,2024-10-22,XEC.2,24F
3,2024-05-22,KP.1.1.3,24B
1,2024-04-25,JF.1.1,23B
2,2024-07-30,KP.2.1,24B
2,2025-01-28,MC.10.1.1,24E
1,2025-01-20,XEC.23,24F
2,2024-02-26,JN.1.6,24A
2,2024-02-09,JN.1.32.1,24A
