method,gr_mse,gr_mse_reduced,lif_mse,lif_mse_reduced,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
stepwiseBFGS,0.01768106039762626,0.011265017882103632,2124.885768990897,1534.3814918353899,200,50,49,0.5021361905982916,0.07142857142857142,920
stepwiseBFGS,0.01658113720483023,0.011140146142004393,1367.9016210795214,588.2417808344743,200,50,47,0.6175793216981648,0.07142857142857142,750
BFGS,0.0004300059016755083,1.0325710653359962e-05,21.320679744215827,1.5005041400381456,500,50,50,0.578926104233898,0.07142857142857142,943
BFGS,0.00012524661052118368,5.4935166221375085e-06,10.687032093507826,1.6589284739705334,500,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,0.001053222633387987,0.0014229761345966466,417.4451475965537,693.741146199867,500,50,49,0.6823452656390391,0.07142857142857142,900
BFGS,0.00031546747650720294,9.390190759975207e-06,42.03305318964749,0.7569343781999357,500,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,0.0001775651673402165,9.663216067531414e-06,32.48837779370501,2.383452799162683,500,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,0.0005312647800652626,1.6503350864944786e-05,151.9673783613097,6.133506765850642,500,50,50,0.4245690467464538,0.07142857142857142,968
BFGS,0.00951388685534615,0.008972988711987324,2552.462615235922,2628.3937239549086,500,50,49,0.5551708994870349,0.07142857142857142,872
BFGS,0.0002467553064774701,1.4323430233338574e-05,29.82341236072148,1.117830109768419,500,50,50,0.6045035820374266,0.07142857142857142,857
BFGS,0.000286383029125998,2.498855966647598e-06,39.51421958556617,0.4442511597476365,500,50,50,0.5022140103585814,0.07142857142857142,920
BFGS,0.00025154924776142927,6.066397370498076e-06,23.825763593246496,0.5640511744450024,500,50,50,0.6180541052462899,0.07142857142857142,750
stepwiseBFGS,0.00042998378985810594,1.0325757321097098e-05,21.322551844634408,1.5005243226076987,500,50,50,0.578926104233898,0.07142857142857142,943
stepwiseBFGS,0.0001256383843557829,5.490259215079279e-06,10.698883552236497,1.6581324347601345,500,50,50,0.6557063303128904,0.07142857142857142,836
stepwiseBFGS,0.0010533330666386066,0.00142299731983539,417.45792336452314,693.7445936496414,500,50,49,0.6823452656390391,0.07142857142857142,900
stepwiseBFGS,0.0003154640222138962,9.392812171683442e-06,42.034135474579024,0.7568603559628818,500,50,50,0.5913359477305182,0.07142857142857142,830
stepwiseBFGS,0.00017757167901433655,9.745963825723136e-06,32.4904271827374,2.4029583686301317,500,50,50,0.6807280464311902,0.07142857142857142,908
stepwiseBFGS,0.0005311952528967986,1.6501326909378575e-05,151.95807103765722,6.1327394949475265,500,50,50,0.4245690467464538,0.07142857142857142,968
stepwiseBFGS,0.009514226588977836,0.008973309181016374,2552.5743787924384,2628.5061781232635,500,50,49,0.5551708994870349,0.07142857142857142,872
stepwiseBFGS,0.0002464115557932333,1.4316847332986978e-05,29.733266936706,1.1180293364214122,500,50,50,0.6045035820374266,0.07142857142857142,857
stepwiseBFGS,0.00028627895895985754,2.5064364418861042e-06,39.50525946438678,0.4458883082527228,500,50,50,0.5022140103585814,0.07142857142857142,920
stepwiseBFGS,0.000251542473439629,6.061084097550987e-06,23.824742597072447,0.5625651051591528,500,50,50,0.6180541052462899,0.07142857142857142,750
BFGS,0.00020426388787277716,4.405502649895721e-06,16.495312130580814,0.9046151509552267,1000,50,50,0.578926104233898,0.07142857142857142,943
BFGS,7.888523378606915e-05,3.2975937366847733e-06,13.954347676595367,0.6028219940930497,1000,50,50,0.6557063303128904,0.07142857142857142,836
BFGS,5.081239833928151e-05,8.463511900588376e-07,8.679462554310119,0.19099211432261,1000,50,50,0.6824001768020049,0.07142857142857142,900
BFGS,0.00015923966713761857,1.0397229811471223e-05,16.772767936846673,0.9747506039083198,1000,50,50,0.5913359477305182,0.07142857142857142,830
BFGS,0.00014824846169103162,3.2001349724526564e-06,28.26704330243135,1.1145200526966814,1000,50,50,0.6807280464311902,0.07142857142857142,908
BFGS,0.00022111393004977078,6.495190793651332e-06,70.99721143264279,2.3816916131538544,1000,50,50,0.4245690467464538,0.07142857142857142,968
BFGS,0.0001311489085378119,6.412265747203064e-06,12.37870830959056,0.9386924689460662,1000,50,50,0.5552452521725193,0.07142857142857142,872
BFGS,8.166425726248994e-05,4.7009222036876615e-06,13.930276509801661,0.8885095178341075,1000,50,50,0.6045035820374266,0.07142857142857142,857
BFGS,9.643058151862017e-05,1.7757789243717297e-06,14.068196333368956,0.2541842091366871,1000,50,50,0.5022140103585814,0.07142857142857142,920
