method,gr_mse,lif_mse,n_samples,n_variants_requested,n_variants_real,mean_entropy,new_var_rate,n_days
BFGS,0.0002515050685897921,23.822191045744617,500,50,50,0.5737288855367041,0.07142857142857142,1000
stepwiseBFGS,0.0004299837279433271,21.32252268007859,500,50,50,0.6311287903311829,0.07142857142857142,1000
stepwiseBFGS,0.0001256536615581709,10.706775056434147,500,50,50,0.6072564407151795,0.07142857142857142,1000
stepwiseBFGS,0.0010533330594918908,417.45792003414977,500,50,49,0.7425756939789087,0.07142857142857142,1000
stepwiseBFGS,0.00031546023855295565,42.0322917575551,500,50,50,0.5871265745075039,0.07142857142857142,1000
stepwiseBFGS,0.00018027770370649272,34.15282329557928,500,50,50,0.6747817125775883,0.07142857142857142,1000
stepwiseBFGS,0.0005311953068398313,151.9581034335007,500,50,50,0.4501441008267603,0.07142857142857142,1000
stepwiseBFGS,0.009513991784742788,2552.4882433458192,500,50,49,0.5387232885897798,0.07142857142857142,1000
stepwiseBFGS,0.0002464267935344667,29.7417630992668,500,50,50,0.5290679867857032,0.07142857142857142,1000
stepwiseBFGS,0.0002862178818830724,39.46855906532495,500,50,50,0.5126262330664219,0.07142857142857142,1000
stepwiseBFGS,0.0002515407037218408,23.824239463398847,500,50,50,0.5737288855367041,0.07142857142857142,1000
BFGS,0.00020421134923596473,16.495598812637052,1000,50,50,0.6311287903311829,0.07142857142857142,1000
BFGS,7.885843905123482e-05,13.938258832927573,1000,50,50,0.6072564407151795,0.07142857142857142,1000
BFGS,5.0790541009987054e-05,8.671646386138761,1000,50,50,0.7426354521946797,0.07142857142857142,1000
BFGS,0.00015944014760180925,16.782835537686164,1000,50,50,0.5871265745075039,0.07142857142857142,1000
BFGS,0.00014832850943359696,28.341454691934494,1000,50,50,0.6747817125775883,0.07142857142857142,1000
BFGS,0.00022132490968780762,71.08213763833793,1000,50,50,0.4501441008267603,0.07142857142857142,1000
BFGS,0.00013134532840509578,12.435104830459043,1000,50,50,0.5387881241315222,0.07142857142857142,1000
BFGS,8.176205502985214e-05,13.939309814191235,1000,50,50,0.5290679867857032,0.07142857142857142,1000
BFGS,9.63976264721941e-05,14.033930661571086,1000,50,50,0.5126262330664219,0.07142857142857142,1000
BFGS,9.790861528801594e-05,8.82203489988098,1000,50,50,0.5737288855367041,0.07142857142857142,1000
stepwiseBFGS,0.00020420411927346587,16.498568980733538,1000,50,50,0.6311287903311829,0.07142857142857142,1000
stepwiseBFGS,7.884261418336693e-05,13.936916876970608,1000,50,50,0.6072564407151795,0.07142857142857142,1000
stepwiseBFGS,5.087487823675364e-05,8.694425876626736,1000,50,50,0.7426354521946797,0.07142857142857142,1000
stepwiseBFGS,0.00015918941806784362,16.765540627870763,1000,50,50,0.5871265745075039,0.07142857142857142,1000
